ztf_id,n_total,n_g,n_r,span,max_gap,median_gap,mag_range,frac_imputed
ZTF19acokzjy,13,5,8,79.76939809974283,24.888495299965143,3.0302720002364367,2.3558539999999972,0.0
ZTF19acordoi,20,12,8,22.013865699991584,6.001620300114155,0.9481250001117587,1.5433880000000002,0.0
ZTF19acpgaet,15,7,8,42.85270839976147,19.013483799993992,1.5110764000564814,1.8472399999999993,0.0
ZTF19acoaoty,75,35,40,58.86556709976867,10.03309030039236,0.04092589975334704,1.9719499999999996,0.0
ZTF19acrenwk,13,4,9,38.911898100283,13.973668900318444,2.0229166499339044,1.3836510000000004,0.0
ZTF19ackjrru,83,28,55,110.77809030003846,11.001979100052267,0.06204279977828264,2.060524000000001,0.0
ZTF19acqehbt,8,3,5,35.93554400000721,14.998680499847978,3.0295485998503864,2.2195649999999993,0.0
ZTF19acqprad,21,7,14,35.088136500213295,10.123935100156814,0.9571758999954909,1.1114469999999983,0.0
ZTF19acqypso,47,21,26,18.950763899832964,4.919641199987382,0.03747105016373098,1.4628119999999996,0.0
ZTF19acrdqej,127,55,72,80.83556709997356,9.998587999958545,0.03288195002824068,2.8001070000000006,0.0
ZTF19acmgyka,79,38,41,59.880520899780095,13.034374999813735,0.0383564499206841,1.8761040000000015,0.0
ZTF19acwbhih,20,8,12,65.8103935001418,10.953286999836564,2.9723958000540733,3.263709000000002,0.0
ZTF19acqxoll,21,8,13,52.92284720018506,16.950821800157428,0.9935012001078576,1.6947469999999996,0.0
ZTF19acrbyzj,19,7,12,101.72116900002584,21.984710600227118,3.980960600078106,3.3364340000000006,0.0
ZTF19acrcxri,35,16,19,88.02237269980833,9.990370399784297,1.4885705497581512,2.5339980000000004,0.0
ZTF19acrwzqs,9,5,4,49.940509299747646,18.9881134997122,3.0260185000952333,1.8195720000000009,0.0
ZTF19acbwejj,64,21,43,190.669710600283,21.92846059985459,2.9367593000642955,3.5266379999999984,0.0
ZTF19acruqph,16,6,10,40.985555599909276,7.979513800237328,2.0434491001069546,1.456702,0.0
ZTF19acrwvao,17,7,10,53.992812499869615,11.001990800257772,3.004803250078112,2.425657000000001,0.0
ZTF19acrwyyb,9,5,4,20.009294000454247,7.023981500416994,1.5030960498843342,1.8119320000000023,0.0
ZTF19acryurj,50,21,29,90.8219792000018,9.06143519980833,1.0093749999068677,3.113658000000001,0.0
ZTF19acsfvog,9,4,5,61.897719899658114,28.065543999895453,4.969884199788794,2.0008729999999986,0.0
ZTF22abaucrh,19,11,8,18.085277799982578,4.944247699808329,0.07869794988073409,0.9446879999999993,0.0
ZTF19acszmgx,27,11,16,100.64125000033528,20.879317200277,2.4478993001393974,1.8536000000000001,0.0
ZTF19actldas,76,29,47,93.76778930006549,8.039386599790305,0.8735301000997424,3.3250959999999985,0.0
ZTF19actnwtn,62,5,57,156.67385420016944,26.063217600341886,1.012847200036049,1.9300500000000014,0.0
ZTF19actnyae,25,6,19,93.81259260000661,16.014479199890047,3.016892350045964,1.5177629999999986,0.0
ZTF19acvrigb,179,78,101,106.70755780022591,11.001979100052267,0.035509200068190694,3.515957,0.0
